student_id,record_date,record_type,location,amount,frequency,access_time,weekday
S000003,2025-10-26,consumption,食堂一楼,36.01,3.0,2025-10-26 14:32:00,6
S000003,2025-11-21,consumption,食堂二楼,36.01,1.0,2025-11-21 17:48:00,4
S000004,2025-09-13,consumption,校园超市,8.93,2.0,2025-09-13 19:26:00,5
S000004,2025-09-16,consumption,食堂一楼,27.69,2.0,2025-09-16 06:37:00,1
S000004,2025-10-10,consumption,开水房,3.42,2.0,2025-10-10 22:28:00,4
S000004,2025-10-31,access,图书馆,0.0,1.0,2025-10-31 12:33:00,4
S000004,2025-11-02,access,图书馆,0.0,1.0,2025-11-02 10:42:00,6
S000004,2025-11-05,consumption,开水房,2.68,3.0,2025-11-05 10:46:00,2
S000004,2025-11-10,consumption,食堂二楼,9.42,1.0,2025-11-10 08:45:00,0
S000004,2025-11-13,consumption,食堂二楼,18.52,2.0,2025-11-13 19:12:00,3
S000004,2025-11-17,consumption,食堂二楼,19.44,3.0,2025-11-17 12:45:00,0
S000004,2025-11-20,consumption,食堂一楼,10.36,1.0,2025-11-20 16:04:00,3
S000005,2025-09-14,consumption,食堂二楼,15.58,3.0,2025-09-14 20:08:00,6
S000005,2025-09-28,access,图书馆,0.0,1.0,2025-09-28 19:20:00,6
S000005,2025-10-01,consumption,校园超市,2.015,2.0,2025-10-01 12:55:00,2
S000005,2025-10-20,consumption,快递点,4.03,2.0,2025-10-20 19:44:00,0
S000005,2025-10-22,access,图书馆,0.0,1.0,2025-10-22 14:00:00,2
S000005,2025-10-25,consumption,校园超市,6.49,1.0,2025-10-25 08:28:00,5
S000005,2025-10-30,access,图书馆,0.0,1.0,2025-10-30 18:41:00,3
S000005,2025-11-10,consumption,开水房,5.0,1.0,2025-11-10 08:59:00,0
S000005,2025-11-11,consumption,校园超市,16.77,1.0,2025-11-11 12:18:00,1
S000005,2025-11-22,consumption,校园超市,25.83,3.0,2025-11-22 16:51:00,5
S000006,2025-09-08,consumption,校园超市,21.2,3.0,2025-09-08 22:10:00,0
S000006,2025-09-08,access,图书馆,0.0,1.0,2025-09-08 21:11:00,0
S000006,2025-09-09,consumption,开水房,4.38,2.0,2025-09-09 09:56:00,1
S000006,2025-09-28,consumption,食堂二楼,25.93,2.0,2025-09-28 08:56:00,6
S000006,2025-10-02,consumption,食堂二楼,13.8,2.0,2025-10-02 23:45:00,3
S000006,2025-10-11,consumption,校园超市,12.99,1.0,2025-10-11 15:29:00,5
S000006,2025-10-11,access,图书馆,0.0,1.0,2025-10-11 08:29:00,5
S000006,2025-11-12,consumption,浴室,0.68,1.0,2025-11-12 19:42:00,2
S000006,2025-11-14,consumption,食堂三楼,0.34,2.0,2025-11-14 12:42:00,4
S000006,2025-11-19,access,图书馆,0.0,1.0,2025-11-19 09:34:00,2
S000007,2025-09-10,access,图书馆,0.0,1.0,2025-09-10 16:02:00,2
S000007,2025-09-14,access,图书馆,0.0,1.0,2025-09-14 12:18:00,6
S000007,2025-10-06,consumption,食堂三楼,21.2,1.0,2025-10-06 14:10:00,0
S000007,2025-10-09,consumption,快递点,3.44,1.0,2025-10-09 23:19:00,3
S000007,2025-10-10,consumption,快递点,4.87,1.0,2025-10-10 17:13:00,4
S000007,2025-10-18,consumption,食堂二楼,61.94,2.0,2025-10-18 10:02:00,5
S000007,2025-10-27,consumption,校园超市,12.41,3.0,2025-10-27 06:07:00,0
S000007,2025-11-02,consumption,快递点,0.73,3.0,2025-11-02 19:53:00,6
S000007,2025-11-17,consumption,食堂三楼,18.17,1.0,2025-11-17 14:32:00,0
S000007,2025-11-24,consumption,食堂二楼,29.6,1.0,2025-11-24 09:56:00,0
S000008,2025-09-15,access,宿舍楼,0.0,1.0,2025-09-15 11:37:00,0
S000008,2025-09-21,access,图书馆,0.0,1.0,2025-09-21 14:01:00,6
S000008,2025-09-23,access,宿舍楼,1.15,1.0,2025-09-23 19:51:00,1
S000008,2025-10-06,consumption,浴室,2.3,3.0,2025-10-06 16:01:00,0
S000008,2025-10-23,access,图书馆,0.0,1.0,2025-10-23 11:55:00,3
S000008,2025-10-29,consumption,快递点,4.08,1.0,2025-10-29 13:01:00,2
S000008,2025-11-24,consumption,食堂三楼,14.46,2.0,2025-11-24 08:49:00,0
S000008,2025-11-25,access,图书馆,0.0,1.0,2025-11-25 12:10:00,1
S000008,2025-11-27,consumption,食堂一楼,24.37,2.0,2025-11-27 23:56:00,3
S000008,2025-11-29,consumption,快递点,0.67,2.0,2025-11-29 13:12:00,5
S000009,2025-09-09,access,宿舍楼,0.0,1.0,2025-09-09 16:42:00,1
S000009,2025-09-16,access,宿舍楼,0.0,1.0,2025-09-16 22:19:00,1
S000009,2025-09-17,consumption,开水房,4.73,3.0,2025-09-17 11:39:00,2
S000009,2025-10-04,consumption,浴室,2.46,3.0,2025-10-04 16:27:00,5
S000009,2025-10-26,access,宿舍楼,0.0,1.0,2025-10-26 20:28:00,6
S000009,2025-11-06,access,图书馆,0.0,1.0,2025-11-06 13:27:00,3
S000009,2025-11-12,consumption,浴室,4.25,2.0,2025-11-12 15:13:00,2
S000009,2025-11-13,consumption,食堂一楼,37.01,3.0,2025-11-13 19:00:00,3
S000009,2025-11-17,access,图书馆,0.0,1.0,2025-11-17 14:57:00,0
S000009,2025-11-25,consumption,校园超市,7.56,3.0,2025-11-25 15:35:00,1
S000010,2025-09-06,consumption,校园超市,4.19,1.0,2025-09-06 08:29:00,5
S000010,2025-09-11,consumption,开水房,3.35,2.0,2025-09-11 08:52:00,3
S000010,2025-09-14,access,图书馆,0.0,1.0,2025-09-14 10:51:00,6
S000010,2025-09-16,consumption,快递点,2.59,3.0,2025-09-16 23:38:00,1
S000010,2025-10-01,consumption,食堂二楼,27.23,2.0,2025-10-01 10:01:00,2
S000010,2025-10-11,access,宿舍楼,0.0,1.0,2025-10-11 22:27:00,5
S000010,2025-10-20,consumption,食堂二楼,12.63,1.0,2025-10-20 06:57:00,0
S000010,2025-10-24,access,图书馆,0.0,1.0,2025-10-24 19:44:00,4
S000010,2025-10-27,consumption,浴室,13.535,3.0,2025-10-27 11:42:00,0
S000010,2025-11-29,consumption,食堂一楼,27.07,3.0,2025-11-29 13:58:00,5
S000011,2025-10-04,access,宿舍楼,3.855,1.0,2025-10-04 22:31:00,5
S000011,2025-10-05,consumption,浴室,0.86,1.0,2025-10-05 13:24:00,6
S000011,2025-10-13,consumption,校园超市,15.79,1.0,2025-10-13 12:53:00,0
S000011,2025-10-20,access,宿舍楼,0.0,1.0,2025-10-20 23:47:00,0
S000011,2025-10-24,consumption,快递点,3.13,3.0,2025-10-24 06:54:00,4
S000011,2025-11-09,access,图书馆,0.0,1.0,2025-11-09 15:14:00,6
S000011,2025-11-10,consumption,食堂二楼,35.49,3.0,2025-11-10 21:28:00,0
S000011,2025-11-13,consumption,食堂一楼,11.71,2.0,2025-11-13 15:48:00,3
S000011,2025-11-20,consumption,校园超市,23.04,1.0,2025-11-20 15:15:00,3
S000011,2025-11-28,consumption,食堂二楼,23.15,1.0,2025-11-28 19:26:00,4
S000012,2025-09-09,access,图书馆,0.0,1.0,2025-09-09 20:01:00,1
S000012,2025-09-11,consumption,开水房,2.93,2.0,2025-09-11 13:41:00,3
S000012,2025-09-17,access,图书馆,0.0,1.0,2025-09-17 14:37:00,2
S000012,2025-09-17,consumption,食堂一楼,10.16,3.0,2025-09-17 12:29:00,2
S000012,2025-10-02,consumption,食堂一楼,29.13,3.0,2025-10-02 10:15:00,3
S000012,2025-10-05,consumption,食堂一楼,17.12,2.0,2025-10-05 16:42:00,6
S000012,2025-10-29,consumption,快递点,4.46,2.0,2025-10-29 19:16:00,2
S000012,2025-10-30,consumption,食堂三楼,41.62,2.0,2025-10-30 16:13:00,3
S000012,2025-11-12,consumption,食堂一楼,19.49,3.0,2025-11-12 19:08:00,2
S000012,2025-11-26,access,图书馆,0.0,1.0,2025-11-26 21:29:00,2
S000013,2025-09-21,access,图书馆,0.0,1.0,2025-09-21 17:01:00,6
S000013,2025-10-10,consumption,校园超市,14.76,2.0,2025-10-10 12:04:00,4
S000013,2025-10-14,consumption,校园超市,45.82,2.0,2025-10-14 09:27:00,1
S000013,2025-10-17,consumption,快递点,2.57,1.0,2025-10-17 19:11:00,4
S000013,2025-11-01,consumption,快递点,3.79,2.0,2025-11-01 16:54:00,5
S000013,2025-11-06,access,宿舍楼,0.0,1.0,2025-11-06 23:49:00,3
S000013,2025-11-08,consumption,食堂三楼,33.31,1.0,2025-11-08 22:41:00,5
S000013,2025-11-15,consumption,开水房,1.59,3.0,2025-11-15 15:54:00,5
S000013,2025-11-27,consumption,食堂一楼,15.22,3.0,2025-11-27 07:22:00,3
S000013,2025-11-29,consumption,食堂三楼,28.85,1.0,2025-11-29 09:49:00,5
S000014,2025-09-03,consumption,食堂二楼,21.02,2.0,2025-09-03 13:19:00,2
S000014,2025-09-04,consumption,食堂三楼,16.13,1.0,2025-09-04 21:13:00,3
S000014,2025-10-02,access,图书馆,0.0,1.0,2025-10-02 12:56:00,3
S000014,2025-10-16,access,宿舍楼,0.0,1.5,2025-10-16 14:56:00,3
S000014,2025-10-23,consumption,快递点,1.58,2.0,2025-10-23 21:28:00,3
S000014,2025-10-25,access,宿舍楼,0.0,1.0,2025-10-25 17:44:00,5
S000014,2025-10-28,consumption,校园超市,42.31,3.0,2025-10-28 18:21:00,1
S000014,2025-11-06,access,图书馆,0.0,1.0,2025-11-06 11:46:00,3
S000014,2025-11-16,access,宿舍楼,0.0,1.0,2025-11-16 23:00:00,6
S000014,2025-11-24,consumption,校园超市,26.18,3.0,2025-11-24 22:22:00,0
S000015,2025-09-17,consumption,快递点,2.71,1.0,2025-09-17 15:30:00,2
S000015,2025-09-25,consumption,开水房,2.91,3.0,2025-09-25 11:12:00,3
S000015,2025-09-28,access,宿舍楼,0.0,1.0,2025-09-28 22:38:00,6
S000015,2025-10-06,consumption,食堂一楼,22.36,3.0,2025-10-06 15:44:00,0
S000015,2025-10-07,access,图书馆,0.0,1.0,2025-10-07 12:14:00,1
S000015,2025-10-17,consumption,食堂一楼,19.98,3.0,2025-10-17 23:08:00,4
S000015,2025-10-29,consumption,食堂三楼,39.96,1.0,2025-10-29 09:46:00,2
S000015,2025-11-01,consumption,食堂二楼,14.11,1.0,2025-11-01 14:55:00,5
S000015,2025-11-01,consumption,食堂一楼,13.49,2.0,2025-11-01 21:04:00,5
S000015,2025-11-13,consumption,食堂一楼,36.83,1.0,2025-11-13 10:51:00,3
S000016,2025-09-28,consumption,食堂一楼,23.66,1.0,2025-09-28 13:11:00,6
S000016,2025-09-30,access,图书馆,0.0,1.0,2025-09-30 14:07:00,1
S000016,2025-10-07,access,宿舍楼,0.0,1.0,2025-10-07 08:43:00,1
S000016,2025-10-19,consumption,校园超市,59.44,2.0,2025-10-19 19:19:00,6
S000016,2025-11-09,consumption,食堂二楼,17.77,2.0,2025-11-09 10:04:00,6
S000016,2025-11-10,consumption,食堂一楼,40.52,2.0,2025-11-10 20:44:00,0
S000016,2025-11-11,access,图书馆,0.0,1.0,2025-11-11 20:33:00,1
S000016,2025-11-12,access,图书馆,0.0,1.0,2025-11-12 11:07:00,2
S000016,2025-11-12,consumption,浴室,4.82,1.0,2025-11-12 12:40:00,2
S000016,2025-11-16,consumption,食堂一楼,29.39,1.0,2025-11-16 15:45:00,6
S000017,2025-09-08,consumption,食堂三楼,29.39,3.0,2025-09-08 15:28:00,0
S000017,2025-09-16,consumption,食堂三楼,52.93,2.0,2025-09-16 18:17:00,1
S000017,2025-09-30,access,图书馆,0.0,1.0,2025-09-30 20:43:00,1
S000017,2025-10-05,consumption,快递点,3.9,2.0,2025-10-05 22:41:00,6
S000017,2025-10-23,consumption,开水房,0.97,1.0,2025-10-23 16:26:00,3
S000017,2025-10-26,access,宿舍楼,0.0,1.0,2025-10-26 06:05:00,6
S000017,2025-10-27,access,图书馆,0.0,1.0,2025-10-27 17:27:00,0
S000017,2025-11-04,consumption,校园超市,19.52,1.0,2025-11-04 07:56:00,1
S000017,2025-11-21,access,图书馆,12.135,1.0,2025-11-21 15:22:00,4
S000017,2025-11-28,consumption,开水房,4.75,3.0,2025-11-28 07:29:00,4
S000018,2025-09-04,access,图书馆,0.0,1.0,2025-09-04 19:10:00,3
S000018,2025-09-12,consumption,食堂三楼,12.81,1.0,2025-09-12 18:55:00,4
S000018,2025-09-16,consumption,食堂二楼,25.62,1.0,2025-09-16 15:32:00,1
S000018,2025-10-05,consumption,食堂三楼,37.0,1.0,2025-10-05 21:07:00,6
S000018,2025-10-10,consumption,浴室,2.34,1.0,2025-10-10 09:29:00,4
S000018,2025-11-05,access,图书馆,0.0,1.0,2025-11-05 18:55:00,2
S000018,2025-11-09,consumption,食堂一楼,6.62,1.0,2025-11-09 22:23:00,6
S000018,2025-11-10,consumption,食堂二楼,21.13,3.0,2025-11-10 22:47:00,0
S000018,2025-11-19,access,宿舍楼,0.0,1.0,2025-11-19 07:13:00,2
S000018,2025-11-30,consumption,快递点,2.67,2.0,2025-11-30 13:29:00,6
S000019,2025-09-18,access,宿舍楼,0.0,1.0,2025-09-18 19:21:00,3
S000019,2025-09-30,access,宿舍楼,0.0,1.0,2025-09-30 07:20:00,1
S000019,2025-10-12,access,图书馆,0.0,1.0,2025-10-12 17:24:00,6
S000019,2025-10-27,consumption,校园超市,4.1,1.0,2025-10-27 10:26:00,0
S000019,2025-10-31,access,宿舍楼,0.0,1.0,2025-10-31 18:42:00,4
S000019,2025-11-01,consumption,浴室,3.93,2.0,2025-11-01 20:59:00,5
S000019,2025-11-04,consumption,食堂一楼,25.68,2.0,2025-11-04 15:53:00,1
S000019,2025-11-04,access,宿舍楼,0.0,1.0,2025-11-04 09:55:00,1
S000019,2025-11-15,consumption,开水房,2.7,1.0,2025-11-15 20:34:00,5
S000019,2025-11-23,access,宿舍楼,0.0,1.0,2025-11-23 07:08:00,6
S000020,2025-09-08,consumption,食堂三楼,51.36,2.0,2025-09-08 10:15:00,0
S000020,2025-09-13,access,图书馆,0.0,1.0,2025-09-13 15:10:00,5
S000020,2025-10-01,consumption,食堂三楼,21.98,1.0,2025-10-01 08:27:00,2
S000020,2025-10-04,consumption,开水房,2.29,1.0,2025-10-04 16:54:00,5
S000020,2025-11-02,access,图书馆,0.0,1.0,2025-11-02 17:04:00,6
S000020,2025-11-07,consumption,开水房,4.07,1.0,2025-11-07 11:05:00,4
S000020,2025-11-18,access,图书馆,0.0,1.0,2025-11-18 15:58:00,1
S000020,2025-11-23,access,图书馆,0.0,1.0,2025-11-23 15:50:00,6
S000020,2025-11-26,access,宿舍楼,0.0,1.0,2025-11-26 16:40:00,2
S000020,2025-11-28,consumption,食堂一楼,29.33,1.0,2025-11-28 16:50:00,4
S000021,2025-09-10,consumption,食堂三楼,16.37,3.0,2025-09-10 15:40:00,2
S000021,2025-10-03,consumption,快递点,2.59,2.0,2025-10-03 23:10:00,4
S000021,2025-10-08,access,宿舍楼,0.0,1.0,2025-10-08 06:53:00,2
S000021,2025-10-16,consumption,食堂二楼,18.82,3.0,2025-10-16 14:43:00,3
S000021,2025-10-25,consumption,校园超市,13.44,2.0,2025-10-25 12:24:00,5
S000021,2025-11-01,consumption,校园超市,13.355,3.0,2025-11-01 17:36:00,5
S000021,2025-11-14,consumption,校园超市,13.27,3.0,2025-11-14 14:29:00,4
S000021,2025-11-17,access,宿舍楼,0.0,1.0,2025-11-17 13:38:00,0
S000021,2025-11-24,consumption,食堂一楼,15.855,3.0,2025-11-24 07:58:00,0
S000021,2025-11-24,consumption,食堂二楼,31.71,3.0,2025-11-24 09:57:00,0
S000022,2025-09-12,access,图书馆,0.0,1.0,2025-09-12 12:34:00,4
S000022,2025-09-15,consumption,食堂一楼,17.27,1.0,2025-09-15 13:55:00,0
S000022,2025-09-16,consumption,开水房,3.87,2.0,2025-09-16 18:52:00,1
S000022,2025-10-17,access,图书馆,0.0,1.0,2025-10-17 12:20:00,4
S000022,2025-10-24,consumption,食堂二楼,39.82,3.0,2025-10-24 17:33:00,4
S000022,2025-11-01,access,宿舍楼,0.0,1.0,2025-11-01 16:51:00,5
S000022,2025-11-04,access,图书馆,0.0,1.0,2025-11-04 12:58:00,1
S000022,2025-11-20,consumption,食堂三楼,25.75,2.0,2025-11-20 07:37:00,3
S000022,2025-11-21,access,图书馆,0.0,1.0,2025-11-21 18:14:00,4
S000022,2025-11-26,access,宿舍楼,0.0,1.0,2025-11-26 23:23:00,2
S000023,2025-09-09,consumption,校园超市,15.45,3.0,2025-09-09 15:41:00,1
S000023,2025-09-15,consumption,浴室,1.11,2.0,2025-09-15 17:42:00,0
S000023,2025-09-28,consumption,浴室,4.87,1.0,2025-09-28 16:15:00,6
S000023,2025-10-17,consumption,开水房,2.15,3.0,2025-10-17 17:03:00,4
S000023,2025-10-21,consumption,食堂一楼,28.45,2.0,2025-10-21 08:42:00,1
S000023,2025-10-23,consumption,食堂一楼,20.16,1.0,2025-10-23 15:31:00,3
S000023,2025-10-24,consumption,快递点,2.7,2.0,2025-10-24 14:02:00,4
S000023,2025-10-31,consumption,浴室,1.98,3.0,2025-10-31 13:41:00,4
S000023,2025-11-28,consumption,校园超市,6.23,2.0,2025-11-28 13:54:00,4
S000023,2025-11-29,access,宿舍楼,0.0,1.0,2025-11-29 10:56:00,5
S000024,2025-09-17,access,图书馆,0.0,1.0,2025-09-17 09:53:00,2
S000024,2025-09-17,access,图书馆,0.0,1.0,2025-09-17 19:04:00,2
S000024,2025-09-19,access,图书馆,0.0,1.0,2025-09-19 12:54:00,4
S000024,2025-09-19,access,宿舍楼,0.0,1.0,2025-09-19 11:07:00,4
S000024,2025-10-01,consumption,食堂一楼,24.6,1.0,2025-10-01 14:03:00,2
S000024,2025-10-29,consumption,食堂一楼,12.09,2.0,2025-10-29 21:54:00,2
S000024,2025-10-31,consumption,食堂三楼,21.82,3.0,2025-10-31 09:28:00,4
S000024,2025-11-04,consumption,浴室,24.884999999999998,3.0,2025-11-04 22:19:00,1
S000024,2025-11-10,consumption,食堂二楼,27.95,2.0,2025-11-10 16:49:00,0
S000024,2025-11-24,access,图书馆,0.0,1.0,2025-11-24 08:22:00,0
S000025,2025-09-11,consumption,食堂二楼,20.67,1.0,2025-09-11 10:17:00,3
S000025,2025-09-30,consumption,快递点,2.54,2.0,2025-09-30 09:20:00,1
S000025,2025-10-18,access,图书馆,0.0,1.0,2025-10-18 17:35:00,5
S000025,2025-10-22,consumption,食堂一楼,19.88,2.0,2025-10-22 20:04:00,2
S000025,2025-10-25,consumption,食堂三楼,15.225,2.0,2025-10-25 10:43:00,5
S000025,2025-10-29,consumption,校园超市,10.57,1.0,2025-10-29 09:54:00,2
S000025,2025-10-31,consumption,快递点,0.88,2.0,2025-10-31 09:47:00,4
S000025,2025-11-11,consumption,食堂一楼,30.02,2.0,2025-11-11 17:55:00,1
S000025,2025-11-19,consumption,浴室,3.7,2.0,2025-11-19 22:18:00,2
S000025,2025-11-23,consumption,快递点,2.98,1.0,2025-11-23 19:28:00,6
S000026,2025-09-01,consumption,食堂二楼,27.9,3.0,2025-09-01 18:04:00,0
S000026,2025-09-19,access,图书馆,0.0,1.0,2025-09-19 09:47:00,4
S000026,2025-09-20,consumption,食堂二楼,26.77,1.0,2025-09-20 17:54:00,5
S000026,2025-10-05,access,宿舍楼,0.0,1.0,2025-10-05 16:22:00,6
S000026,2025-11-07,consumption,校园超市,18.92,2.0,2025-11-07 16:10:00,4
S000026,2025-11-11,consumption,快递点,1.75,1.0,2025-11-11 19:54:00,1
S000026,2025-11-11,access,图书馆,0.0,1.0,2025-11-11 17:59:00,1
S000026,2025-11-16,consumption,食堂一楼,63.0,3.0,2025-11-16 22:13:00,6
S000026,2025-11-24,access,宿舍楼,0.0,1.0,2025-11-24 06:11:00,0
S000026,2025-11-25,access,宿舍楼,0.0,1.0,2025-11-25 07:18:00,1
S000027,2025-09-01,consumption,校园超市,3.855,1.0,2025-09-01 10:24:00,0
S000027,2025-09-06,consumption,校园超市,17.22,1.0,2025-09-06 16:36:00,5
S000027,2025-09-07,consumption,快递点,3.28,3.0,2025-09-07 08:17:00,6
S000027,2025-09-18,access,宿舍楼,0.0,1.0,2025-09-18 16:07:00,3
S000027,2025-09-29,consumption,浴室,0.75,1.0,2025-09-29 15:13:00,0
S000027,2025-10-05,consumption,浴室,1.01,2.0,2025-10-05 09:18:00,6
S000027,2025-10-18,consumption,食堂三楼,9.4,3.0,2025-10-18 08:56:00,5
S000027,2025-10-27,consumption,校园超市,19.66,3.0,2025-10-27 20:26:00,0
S000027,2025-11-08,access,宿舍楼,0.0,1.0,2025-11-08 08:25:00,5
S000027,2025-11-26,consumption,校园超市,21.08,3.0,2025-11-26 15:02:00,2
S000028,2025-09-03,access,图书馆,0.0,1.0,2025-09-03 20:39:00,2
S000028,2025-09-14,consumption,浴室,2.3,1.0,2025-09-14 18:55:00,6
S000028,2025-09-19,consumption,食堂二楼,28.52,3.0,2025-09-19 10:48:00,4
S000028,2025-09-22,consumption,开水房,1.01,3.0,2025-09-22 12:57:00,0
S000028,2025-10-10,access,图书馆,0.0,1.0,2025-10-10 13:49:00,4
S000028,2025-10-15,consumption,快递点,3.4,1.0,2025-10-15 13:06:00,2
S000028,2025-10-25,consumption,开水房,3.38,2.0,2025-10-25 09:25:00,5
S000028,2025-10-29,access,宿舍楼,0.0,1.0,2025-10-29 08:27:00,2
S000028,2025-11-12,consumption,浴室,1.95,3.0,2025-11-12 16:09:00,2
S000028,2025-11-23,consumption,快递点,3.33,2.0,2025-11-23 20:43:00,6
S000029,2025-09-20,access,宿舍楼,0.0,1.0,2025-09-20 09:51:00,5
S000029,2025-09-23,consumption,开水房,2.47,2.0,2025-09-23 22:33:00,1
S000029,2025-10-06,consumption,食堂三楼,13.68,3.0,2025-10-06 08:19:00,0
S000029,2025-10-14,access,图书馆,0.0,1.0,2025-10-14 16:41:00,1
S000029,2025-10-27,consumption,校园超市,19.54,3.0,2025-10-27 15:50:00,0
S000029,2025-10-30,consumption,食堂一楼,11.265,2.0,2025-10-30 15:04:00,3
S000029,2025-11-04,consumption,浴室,2.99,3.0,2025-11-04 07:28:00,1
S000029,2025-11-13,consumption,食堂三楼,35.73,3.0,2025-11-13 21:32:00,3
S000029,2025-11-18,consumption,食堂三楼,36.43,2.0,2025-11-18 18:26:00,1
S000029,2025-11-22,access,图书馆,0.0,1.0,2025-11-22 17:38:00,5
S000030,2025-09-10,consumption,快递点,3.855,3.0,2025-09-10 22:02:00,2
S000030,2025-09-11,consumption,食堂二楼,3.855,2.0,2025-09-11 15:41:00,3
S000030,2025-09-21,consumption,开水房,3.97,2.0,2025-09-21 20:02:00,6
S000030,2025-09-28,consumption,快递点,2.69,2.0,2025-09-28 10:09:00,6
S000030,2025-10-13,consumption,开水房,2.24,2.0,2025-10-13 10:21:00,0
S000030,2025-10-14,consumption,食堂一楼,15.57,3.0,2025-10-14 16:04:00,1
S000030,2025-11-11,consumption,快递点,1.98,1.0,2025-11-11 22:05:00,1
S000030,2025-11-22,consumption,浴室,2.13,2.0,2025-11-22 15:11:00,5
S000030,2025-11-24,consumption,快递点,3.28,3.0,2025-11-24 18:09:00,0
S000030,2025-11-29,consumption,食堂二楼,12.17,3.0,2025-11-29 08:19:00,5
S000031,2025-09-04,consumption,校园超市,13.43,3.0,2025-09-04 17:15:00,3
S000031,2025-09-16,consumption,快递点,1.22,2.5,2025-09-16 22:09:00,1
S000031,2025-09-25,consumption,浴室,4.93,2.0,2025-09-25 15:49:00,3
S000031,2025-10-18,consumption,食堂一楼,18.48,3.0,2025-10-18 22:54:00,5
S000031,2025-10-19,consumption,校园超市,3.855,1.0,2025-10-19 12:51:00,6
S000031,2025-10-20,access,宿舍楼,0.0,1.0,2025-10-20 13:01:00,0
S000031,2025-10-23,consumption,开水房,1.57,2.0,2025-10-23 15:48:00,3
S000031,2025-10-26,consumption,食堂二楼,25.79,2.0,2025-10-26 17:59:00,6
S000031,2025-10-28,consumption,食堂二楼,32.9,2.0,2025-10-28 21:57:00,1
S000031,2025-11-17,consumption,食堂三楼,14.95,1.0,2025-11-17 21:55:00,0
S000032,2025-09-05,consumption,快递点,2.63,1.0,2025-09-05 21:28:00,4
S000032,2025-09-20,consumption,开水房,3.24,2.0,2025-09-20 09:49:00,5
S000032,2025-10-01,access,宿舍楼,14.315,1.0,2025-10-01 19:00:00,2
S000032,2025-10-07,consumption,食堂一楼,25.39,1.0,2025-10-07 13:26:00,1
S000032,2025-10-11,access,宿舍楼,0.0,1.0,2025-10-11 10:08:00,5
S000032,2025-10-17,consumption,浴室,2.95,3.0,2025-10-17 23:01:00,4
S000032,2025-11-03,consumption,食堂一楼,14.42,3.0,2025-11-03 22:36:00,0
S000032,2025-11-18,consumption,食堂一楼,11.3,1.0,2025-11-18 14:13:00,1
S000032,2025-11-18,consumption,浴室,2.37,3.0,2025-11-18 08:33:00,1
S000032,2025-11-21,access,宿舍楼,0.0,1.0,2025-11-21 08:07:00,4
S000033,2025-09-06,consumption,食堂三楼,16.58,3.0,2025-09-06 18:52:00,5
S000033,2025-09-24,access,图书馆,0.0,1.0,2025-09-24 19:49:00,2
S000033,2025-10-01,access,图书馆,0.0,1.0,2025-10-01 20:37:00,2
S000033,2025-10-13,consumption,食堂三楼,15.49,3.0,2025-10-13 16:52:00,0
