student_id,record_count,daily_avg_consumption,daily_avg_frequency,consumption_volatility,total_consumption,total_frequency,library_access_count,dorm_access_count,social_activity_score,weekend_activity_ratio,weekday_activity_ratio,morning_activity_count,afternoon_activity_count,evening_activity_count,night_activity_count,canteen_visits,supermarket_visits,campus_coverage,consumption_regularity,daily_consumption_cv
S000015,10,21.764285714285716,2.142857142857143,14.799796008890187,152.35,15.0,1,1,2,0.3,0.7,3,4,3,0,6,0,7,0.0632919563921789,0.6796914582222234
S000016,10,29.266666666666662,1.5,18.964864003379162,175.59999999999997,9.0,3,1,4,0.4,0.6,3,4,3,0,4,1,6,0.0500879945804161,0.6477808494835192
S000017,10,18.576666666666664,2.0,20.07259591250386,111.46,12.0,3,1,4,0.2,0.8,3,4,3,0,2,1,6,0.04745499814793247,1.0799459780758893
S000018,10,15.455714285714288,1.4285714285714286,13.039891176875745,108.19000000000001,10.0,2,1,3,0.3,0.7,2,2,6,0,5,0,7,0.07122562329023173,0.8431483302986348
S000019,10,9.102500000000001,1.5,11.069255846713457,36.410000000000004,6.0,1,5,6,0.4,0.6,4,2,4,0,1,1,6,0.0828551497043877,1.2147331519027111
S000020,10,21.806000000000004,1.2,20.158867279686127,109.03000000000002,6.0,4,1,5,0.4,0.6,3,7,0,0,3,0,5,0.04726150917162112,0.9240404877010507
S000021,10,17.915714285714284,3.142857142857143,14.021289892092497,125.41,22.0,0,2,2,0.2,0.8,3,6,1,0,4,3,6,0.06657217903280195,0.7821886296194412
S000022,10,21.677500000000002,2.0,15.080546796010635,86.71000000000001,8.0,4,2,6,0.1,0.9,1,6,3,0,3,0,6,0.06218694007644605,0.6953566245999139
S000023,10,9.233333333333334,2.111111111111111,9.790527309598804,83.10000000000001,19.0,0,1,1,0.2,0.8,2,8,0,0,2,2,6,0.09267387693930783,1.0591987713233468
S000024,10,22.269,2.2,6.0902467109305185,111.345,11.0,4,1,5,0.0,1.0,4,3,3,0,4,0,6,0.1410388158226388,0.2733626603945652
S000025,10,11.829444444444444,1.6666666666666667,10.232080813684858,106.465,15.0,1,0,1,0.3,0.7,5,2,3,0,4,1,7,0.08903069845986396,0.8642365663100157
S000026,10,27.668,2.0,22.346591910177263,138.34,10.0,2,3,5,0.3,0.7,3,4,3,0,3,1,6,0.04283280419888948,0.8073774084174168
S000027,10,9.531875,2.125,8.5866948312491,76.255,17.0,0,2,2,0.5,0.5,5,4,1,0,1,4,5,0.10431123735579521,0.8998959671185276
S000028,10,6.270000000000001,2.142857142857143,9.852123290607631,43.89000000000001,15.0,2,1,3,0.3,0.7,3,4,3,0,1,0,6,0.09214786574213424,1.5688094411795588
S000029,10,17.443571428571428,2.5714285714285716,14.051842914212864,122.10499999999999,18.0,2,1,3,0.2,0.8,3,4,3,0,4,1,7,0.06643704732366953,0.8050984276610603
S000030,10,5.174000000000001,2.3,4.711491743009261,51.74000000000001,23.0,0,0,0,0.4,0.6,3,3,4,0,3,0,5,0.175085607227565,0.908852573882959
S000031,10,13.01388888888889,2.0555555555555554,11.245995892365919,117.125,18.5,0,1,1,0.3,0.7,0,6,4,0,4,2,8,0.08165934471882308,0.8634898522483749
S000032,10,10.383333333333335,2.3333333333333335,9.150876825018829,62.300000000000004,14.0,0,3,3,0.2,0.8,4,2,4,0,3,0,5,0.09851365721779853,0.8804563975322798
S000033,10,23.478333333333335,2.5,17.078554290883833,140.87,15.0,4,0,4,0.4,0.6,1,3,6,0,5,0,5,0.05531415753217906,0.7271079666877385
S000034,10,21.08222222222222,2.2222222222222223,18.905998239829717,189.73999999999998,20.0,0,1,1,0.2,0.8,4,1,5,0,4,2,7,0.050236114157747175,0.8963492817703601
S000035,10,13.86,1.8571428571428572,13.11900402723723,97.02000000000001,13.0,1,1,2,0.2,0.8,1,5,4,0,3,1,8,0.07082652558713644,0.9458546522881925
S000036,10,18.631999999999998,3.0,24.378218146534003,93.16,15.0,3,1,4,0.3,0.7,3,4,3,0,2,1,7,0.039403869658066346,1.307704009576977
S000037,10,14.497142857142856,1.4285714285714286,12.64778335557357,101.47999999999999,10.0,0,3,3,0.3,0.7,3,6,1,0,2,2,6,0.07327197200793882,0.8718314474546035
S000038,10,17.21277777777778,2.0,19.78928926071991,154.91500000000002,18.0,0,1,1,0.3,0.7,3,3,4,0,5,1,5,0.04810169253306022,1.1490184403501769
S000039,10,15.620000000000001,2.2857142857142856,17.96376909225901,109.34,16.0,0,3,3,0.2,0.8,2,6,2,0,2,1,5,0.05273213331880311,1.1493134416032635
S000040,10,17.901875,2.25,16.65547441909116,143.215,18.0,0,2,2,0.4,0.6,1,4,5,0,3,2,7,0.05663965613513525,0.9298565571215274
S000041,10,10.551428571428573,1.7142857142857142,8.66883004134435,73.86000000000001,12.0,3,0,3,0.2,0.8,3,6,1,0,3,1,7,0.10342512958899425,0.8208008966510272
S000042,10,21.490000000000002,1.7777777777777777,17.190625352208684,193.41000000000003,16.0,1,0,1,0.4,0.6,3,3,4,0,5,1,7,0.054973371208405494,0.7995639698701712
S000043,10,2.529,1.8,1.947429074446615,12.645,9.0,4,0,4,0.2,0.8,2,5,3,0,1,0,4,0.3392787323263247,0.767006331014815
S000044,10,19.419999999999998,2.3333333333333335,11.590903329766839,116.51999999999998,14.0,1,2,3,0.3,0.7,4,3,3,0,3,2,7,0.07942241901229165,0.5965467488299968
S000045,10,16.6225,1.75,12.319557911826916,132.98,14.0,1,1,2,0.4,0.6,2,5,3,0,4,2,7,0.0750775668847135,0.7406918930904504
S000046,10,21.106,1.6,14.352298770580271,105.53,8.0,2,3,5,0.6,0.4,1,7,2,0,4,0,6,0.06513682510636828,0.6796883297300752
S000047,10,10.96875,1.875,10.775798860011658,87.75,15.0,1,1,2,0.4,0.6,2,3,5,0,2,1,8,0.08491992873585903,0.9815141851314274
S000048,10,11.1675,1.5,12.183509346653777,89.34,12.0,2,0,2,0.5,0.5,6,2,2,0,3,1,8,0.0758523374699028,1.0900030728386292
S000049,10,20.424,2.4,19.734365457242347,102.11999999999999,12.0,1,4,5,0.1,0.9,5,5,0,0,2,2,6,0.04822911036569523,0.9657612536577442
S000050,10,22.449166666666667,2.0,14.740785059374097,134.695,12.0,4,0,4,0.2,0.8,3,6,1,0,4,1,5,0.06352923289581867,0.6563371329913145
S000051,10,14.73111111111111,2.111111111111111,19.239733914768962,132.57999999999998,19.0,0,1,1,0.6,0.4,4,3,3,0,2,1,7,0.04940776416385092,1.3051752862962287
S000052,10,12.62375,2.5,10.428676039103498,100.99,20.0,2,0,2,0.2,0.8,2,3,5,0,5,2,5,0.08749919908294497,0.8254616435423765
S000053,10,22.148571428571422,2.5714285714285716,13.065766246915931,155.04,18.0,2,0,2,0.4,0.6,2,6,2,0,6,1,6,0.0710945982213561,0.5896484026072564
S000054,10,20.17,2.6666666666666665,10.904731083341764,121.02000000000001,16.0,2,1,3,0.6,0.4,3,3,4,0,3,2,6,0.08400021747650356,0.5403731954084123
S000055,10,12.236999999999998,1.6,13.529692162056017,61.184999999999995,8.0,2,3,5,0.4,0.6,3,2,5,0,3,0,5,0.06882458271287252,1.1047352136895583
S000056,10,8.061666666666667,1.8888888888888888,8.620939623962112,72.555,17.0,0,1,1,0.1,0.9,3,1,6,0,3,0,6,0.10393995171837263,1.0680495094729026
S000057,10,12.399000000000001,2.4,15.898900276434217,61.995000000000005,12.0,3,2,5,0.2,0.8,5,2,3,0,1,0,6,0.0591754483215997,1.2812394452763491
S000058,10,18.5825,2.75,16.31492984092441,148.66,22.0,0,1,1,0.5,0.5,3,4,3,0,6,0,7,0.057753627025185335,0.8775005965267936
S000059,10,10.70611111111111,1.5555555555555556,9.89520773461129,96.35499999999999,14.0,0,1,1,0.1,0.9,3,4,3,0,4,1,7,0.09178347254667349,0.923395402680301
S000060,10,14.625714285714286,2.2857142857142856,18.352648861624722,102.38000000000001,16.0,2,1,3,0.4,0.6,8,1,1,0,1,2,6,0.051672513005852495,1.2539633189982728
S000061,10,21.531666666666666,1.3333333333333333,14.908119152551292,129.19,8.0,2,2,4,0.3,0.7,3,5,2,0,5,0,6,0.06286098252159641,0.6920596898669845
S000062,10,11.914000000000001,1.8,14.691381146781264,59.57000000000001,9.0,2,3,5,0.3,0.7,5,4,1,0,2,0,6,0.06372925306228558,1.232084967022917
S000063,10,7.227500000000001,1.1,6.838134593748665,72.275,11.0,0,0,0,0.3,0.7,4,2,4,0,5,0,4,0.1275813764154489,0.944819978410869
S000064,10,8.440714285714288,1.5714285714285714,8.849846716455708,59.08500000000001,11.0,1,2,3,0.3,0.7,2,3,5,0,1,3,7,0.10152442254043849,1.047230614744146
S000065,10,17.055625,2.125,23.45524239870786,136.445,17.0,1,1,2,0.2,0.8,6,3,1,0,2,1,7,0.04089102793161588,1.3744144969028593
S000066,10,18.857499999999998,1.5,11.403924397621491,75.42999999999999,6.0,2,4,6,0.6,0.4,3,4,3,0,3,0,5,0.08061964648799008,0.6044215925597717
S000067,10,14.907499999999999,1.75,9.809193573960531,119.25999999999999,14.0,1,1,2,0.4,0.6,6,2,2,0,3,2,7,0.09251383955311997,0.6575628338502116
S000068,10,24.830714285714286,2.2857142857142856,19.289785818011612,173.815,16.0,0,2,2,0.6,0.4,3,4,3,0,5,2,5,0.04928588251100619,0.7765390961042141
S000069,10,13.844285714285714,2.142857142857143,10.546866607580435,96.91,15.0,2,1,3,0.3,0.7,4,4,2,0,4,0,6,0.08660358121254359,0.7612710481858429
S000070,10,10.129999999999999,1.8571428571428572,13.352120930149388,70.91,13.0,1,2,3,0.3,0.7,5,2,3,0,2,0,6,0.06967611301959614,1.3167772120462908
S000071,10,22.747142857142858,2.0,15.454245063288935,159.23000000000002,14.0,1,2,3,0.3,0.7,4,3,3,0,4,1,7,0.06077459015309671,0.6790942589015853
S000072,10,13.575000000000001,2.1666666666666665,11.728823896708484,81.45,13.0,1,3,4,0.3,0.7,2,5,3,0,3,0,6,0.0785618536413712,0.8633657634676837
S000073,10,6.774285714285715,2.4285714285714284,12.806270413542027,47.42,17.0,2,1,3,0.2,0.8,3,6,1,0,1,0,5,0.07243085714293553,1.8876372477320316
S000074,10,19.224285714285713,1.7142857142857142,17.243531982691227,134.57,12.0,1,2,3,0.4,0.6,4,4,2,0,3,1,8,0.05481394726354317,0.8964997317204292
S000075,10,20.60666666666667,2.5555555555555554,14.64933104274731,185.46,23.0,0,0,0,0.3,0.7,3,2,5,0,5,1,6,0.06390049499677819,0.7105576900281636
S000076,10,22.35625,2.125,20.253321376646205,178.85,17.0,2,0,2,0.6,0.4,4,3,3,0,4,1,7,0.047051469381102495,0.9055304924449206
S000077,10,18.47,2.142857142857143,11.689927288054447,129.29,15.0,1,1,2,0.3,0.7,5,0,5,0,2,3,7,0.0788026579901164,0.6325718229466691
S000078,10,5.196428571428572,1.7857142857142858,4.749542709817541,36.37500000000001,12.5,2,1,3,0.3,0.7,5,4,1,0,1,2,6,0.17392687566134013,0.9122458216140151
S000079,10,17.343333333333334,2.0,22.895969805477414,52.03,6.0,4,3,7,0.3,0.7,3,1,6,0,1,0,5,0.04184806091321645,1.3193989515257825
S000080,10,13.42666666666667,2.6666666666666665,19.95886853840501,40.28000000000001,8.0,5,2,7,0.2,0.8,4,2,4,0,1,0,4,0.04771249927769722,1.4854032650760363
S000081,10,15.911666666666669,2.1666666666666665,15.224206273782116,95.47000000000001,13.0,3,1,4,0.2,0.8,2,4,4,0,2,1,7,0.06163629721695374,0.9561942598418579
S000082,10,18.02,2.5,13.368334226821233,108.12,15.0,2,2,4,0.4,0.6,1,5,4,0,4,0,7,0.0695974901623119,0.7414494856806008
S000083,10,9.955,1.8888888888888888,10.5077394095971,89.595,17.0,0,1,1,0.5,0.5,3,5,2,0,4,0,6,0.08689804004129871,1.054464566944014
S000084,10,17.22,3.0,13.18304668883487,103.32,18.0,1,2,3,0.2,0.8,4,3,3,0,3,2,7,0.07050671283393692,0.7651216882666784
S000085,10,7.969285714285715,2.5,9.299094233925612,55.785000000000004,17.5,3,0,3,0.2,0.8,5,3,2,0,2,1,7,0.0970959171055996,1.1654043440601427
S000086,10,5.2875000000000005,2.0,6.135652980734813,31.725,12.0,1,2,3,0.2,0.8,3,1,6,0,1,1,7,0.1401413441348464,1.1582167023567367
S000087,10,18.6175,2.125,19.27448183479909,148.94,17.0,1,1,2,0.3,0.7,5,1,4,0,2,2,7,0.04932308545038135,1.034732617624431
S000088,10,19.00944444444444,2.0,8.650197412647747,171.08499999999998,18.0,1,0,1,0.0,1.0,6,2,2,0,5,3,5,0.10362482312427924,0.4548081011469533
S000089,10,20.531428571428567,1.8571428571428572,25.464479462296385,143.71999999999997,13.0,1,2,3,0.4,0.6,4,1,5,0,2,2,6,0.037786497989680375,1.239664484568292
S000090,10,19.455000000000002,1.8571428571428572,8.874554918417036,136.185,13.0,1,2,3,0.4,0.6,3,6,1,0,5,1,7,0.10127038719840421,0.45592370503041535
S000091,10,22.94333333333333,2.5,22.194401696523983,137.66,15.0,2,1,3,0.2,0.8,2,5,3,0,3,0,6,0.043113851914958624,0.9669358857039202
S000092,10,15.152857142857144,2.142857142857143,12.701403418895245,106.07000000000001,15.0,1,2,3,0.3,0.7,2,4,4,0,5,1,7,0.07298522417206739,0.8376655731323414
S000093,10,8.891,3.4,6.926224079540019,44.455,17.0,2,2,4,0.5,0.5,2,4,4,0,3,1,8,0.1261634783428975,0.7781399932075069
S000094,10,20.758000000000003,2.0,19.355015313292256,207.58,20.0,0,0,0,0.1,0.9,3,4,3,0,5,1,6,0.049127941424194306,0.9319633721731632
S000095,10,26.299285714285713,1.5714285714285714,20.901658313112268,184.095,11.0,1,2,3,0.3,0.7,3,5,2,0,4,2,7,0.04565864309011303,0.7944593608545917
S000096,10,20.252000000000002,1.7,23.184452117744772,101.26,8.5,3,2,5,0.1,0.9,3,3,4,0,2,1,6,0.04134887964926332,1.1442331516012618
S000097,10,18.35,2.4,16.44026155509699,91.75,12.0,1,4,5,0.4,0.6,3,2,5,0,2,2,5,0.05733858961007072,0.8954390825216223
S000098,10,9.1675,2.0,10.377902365121768,55.005,12.0,2,2,4,0.3,0.7,4,3,3,0,3,0,6,0.0878896626029624,1.1307984053524127
S000099,10,20.761666666666667,1.0,12.45963469234418,124.57,6.0,3,1,4,0.2,0.8,6,4,0,0,2,3,5,0.07429622146942803,0.599837985670104
S000100,10,15.72,2.125,18.229266892241483,125.76,17.0,1,1,2,0.4,0.6,4,4,2,0,2,3,7,0.05200406264075904,1.158885371407596
S000101,10,19.91857142857143,1.4285714285714286,21.442995304272387,139.43,10.0,3,0,3,0.4,0.6,3,5,2,0,3,0,6,0.044557332318722796,1.0759925959133096
S000102,10,29.106428571428573,1.8571428571428572,26.112705514475405,203.745,13.0,0,3,3,0.3,0.7,3,2,5,0,4,0,5,0.03688307680936167,0.8968375173629409
S000103,10,20.914285714285715,1.7142857142857142,19.592102879428108,146.4,12.0,3,0,3,0.1,0.9,5,4,1,0,4,0,5,0.0485623059410323,0.9363331750938536
S000104,10,14.30388888888889,2.3333333333333335,14.995197935042777,128.735,21.0,1,0,1,0.3,0.7,2,4,4,0,4,2,7,0.06251876369777012,1.0475977598710264
S000105,10,20.69333333333333,1.5,20.475416153687004,124.16,9.0,1,3,4,0.3,0.7,7,1,2,0,2,1,7,0.046564871797760955,0.9889912809702304
S000106,10,2.2921428571428573,1.5714285714285714,1.2219310439588955,16.045,11.0,3,0,3,0.4,0.6,3,6,1,0,0,1,5,0.4500589713253493,0.5307798515490083
S000107,10,6.71625,2.25,7.107054719482205,53.73,18.0,1,1,2,0.3,0.7,3,5,2,0,1,2,7,0.12334935862673808,1.0566147139167004
S000108,10,1.9216666666666666,2.0,0.9007521548375249,11.53,12.0,1,3,4,0.1,0.9,3,2,5,0,1,1,7,0.526107518781416,0.46630827687878773
S000109,10,12.679999999999998,2.2857142857142856,12.06091483539564,88.75999999999999,16.0,3,0,3,0.3,0.7,3,3,4,0,4,0,6,0.07656431518027797,0.9504267009768039
S000110,10,14.680999999999997,1.7,13.147192729501862,146.80999999999997,17.0,0,0,0,0.2,0.8,5,1,4,0,5,1,6,0.07068540162845517,0.8949147593425815
S000111,10,13.551428571428572,2.0,9.714589421022776,94.86,14.0,0,3,3,0.3,0.7,4,2,4,0,1,4,5,0.0933306877851922,0.7163396813142255
S000112,10,7.331249999999999,1.75,7.066194040237341,58.64999999999999,14.0,2,0,2,0.1,0.9,3,3,4,0,3,0,5,0.12397420580407656,0.9625328166507532
S000113,10,28.580000000000002,2.5,26.261285827874715,114.32000000000001,10.0,1,4,5,0.1,0.9,3,4,3,0,3,0,6,0.036682055509557006,0.9185479478095387
S000114,10,18.925,2.375,13.103853304603627,151.39999999999998,19.0,0,1,1,0.5,0.5,4,3,3,0,4,1,8,0.07090260926590826,0.6920440086930882
S000115,10,8.0,2.375,8.190846807783151,64.0,19.0,0,2,2,0.3,0.7,1,3,6,0,2,1,7,0.10880390250364774,1.022577628936723
S000116,10,26.265555555555558,2.388888888888889,18.003862857114243,236.39000000000001,21.5,0,1,1,0.4,0.6,5,2,3,0,6,1,7,0.05262088068719367,0.6851943746364519
S000117,10,6.380000000000001,2.4,9.35783962782009,31.900000000000002,12.0,3,2,5,0.5,0.5,4,3,3,0,3,0,5,0.09654522911458323,1.4644506459812345
S000118,10,11.608,2.4,7.470155286203896,58.040000000000006,12.0,4,1,5,0.4,0.6,4,1,5,0,1,3,5,0.11806158992489665,0.6429811745742723
S000119,10,6.645714285714285,2.7142857142857144,6.337199321316574,46.519999999999996,19.0,1,1,2,0.0,1.0,3,6,1,0,2,0,7,0.13629178603540537,0.9521441349906853
S000120,10,26.835,2.25,26.446016083082657,107.34,9.0,4,2,6,0.3,0.7,3,4,3,0,1,2,5,0.03643516046091608,0.9851374961103615
S000121,10,20.540000000000003,2.5,23.662085673344574,164.32,20.0,1,0,1,0.3,0.7,4,3,3,0,5,1,7,0.0405480709638774,1.1514396921335557
S000122,10,14.018124999999998,2.25,12.475821741472581,112.14499999999998,18.0,0,2,2,0.3,0.7,3,3,4,0,5,1,7,0.07420697744334545,0.8893434968303022
S000123,10,12.059999999999999,2.75,13.669086777591739,48.239999999999995,11.0,1,5,6,0.4,0.6,3,6,1,0,1,1,5,0.068170569522268,1.1324844057656787
S000124,10,9.298333333333334,1.8333333333333333,8.591105671953214,55.79,11.0,2,1,3,0.3,0.7,4,1,5,0,2,1,7,0.1042632658009649,0.9229477892877221
S000125,10,9.781666666666666,2.0,9.433742452848003,58.69,12.0,3,1,4,0.2,0.8,2,4,4,0,2,1,6,0.0958428871058667,0.9634460377376685
S000126,10,20.009999999999998,2.142857142857143,10.762157466481026,140.07,15.0,3,0,3,0.5,0.5,1,6,3,0,5,1,5,0.08501841629392652,0.5375703030210303
S000127,10,20.160555555555554,2.0,11.416712651975514,181.445,18.0,1,0,1,0.2,0.8,3,4,3,0,6,2,6,0.08053661448313365,0.5660088350333524
S000128,10,8.1375,2.75,7.66000512868161,65.1,22.0,1,1,2,0.5,0.5,5,2,3,0,2,2,6,0.11547337272215205,0.9401663244776448
S000129,10,16.294285714285714,2.0,12.53634264467759,114.06,14.0,2,1,3,0.2,0.8,3,2,5,0,5,0,6,0.07387519851185165,0.7688986113444592
S000130,10,12.0,2.3333333333333335,9.07930173526577,72.0,14.0,3,1,4,0.3,0.7,3,6,1,0,3,1,8,0.09921322193393313,0.7559784958589316
S000131,10,19.603571428571424,2.4285714285714284,14.777275547916389,137.22499999999997,17.0,2,1,3,0.5,0.5,6,2,2,0,5,1,6,0.06338229924190328,0.7534209463958246
S000132,10,19.07,1.8571428571428572,17.769415672253643,133.49,13.0,1,2,3,0.3,0.7,3,6,1,0,5,0,6,0.05327816366059147,0.931311093933629
S000133,10,18.16375,2.125,16.44121036342172,145.31,17.0,1,0,1,0.4,0.6,2,5,3,0,3,2,7,0.05733547036948954,0.9046680164204811
S000134,10,29.041666666666668,2.0,13.891125824304762,174.25,12.0,1,2,3,0.3,0.7,2,5,3,0,7,0,5,0.06715408974436546,0.47815245795323597
S000135,10,25.217857142857138,2.142857142857143,21.138321806839915,176.525,15.0,2,0,2,0.2,0.8,2,3,5,0,6,0,6,0.045170542226513184,0.8378960482906052
S000136,10,7.602500000000001,2.0,5.480385479142868,30.410000000000004,8.0,4,2,6,0.2,0.8,3,5,2,0,2,0,5,0.1543118080272388,0.7199192747642519
S000137,10,15.5675,2.3333333333333335,10.539800638532022,93.405,14.0,1,2,3,0.3,0.7,5,3,2,0,4,1,7,0.08665660970441254,0.6766041173828934
S000138,10,12.22,1.9166666666666667,13.25353839546255,73.32000000000001,11.5,2,2,4,0.3,0.7,3,4,3,0,2,1,7,0.07015801776759786,1.0836907927606336
S000139,10,15.55,2.45,16.78425320219984,155.5,24.5,0,0,0,0.3,0.7,5,2,3,0,3,2,6,0.05622951881253603,1.0786795117095012
S000140,10,10.974375,1.875,12.61528422121923,87.795,15.0,2,0,2,0.1,0.9,2,5,3,0,1,3,5,0.07344686925018531,1.1484753771806981
S000141,10,25.4425,2.5,19.820182075349358,152.655,15.0,1,2,3,0.1,0.9,5,1,4,0,6,0,5,0.04803031963798137,0.7787125852214658
S000142,10,14.989375,1.75,14.223751875321584,119.915,14.0,1,1,2,0.2,0.8,5,1,4,0,3,1,7,0.06568682990827293,0.948289637089651
S000143,10,6.375,1.6666666666666667,6.215113031956862,38.25,10.0,1,3,4,0.4,0.6,2,5,3,0,2,0,7,0.13859796729044216,0.9733928006197121
S000144,10,14.103750000000002,2.5,12.408346197505246,112.83000000000001,20.0,1,1,2,0.5,0.5,5,2,3,0,3,1,7,0.07458041321949606,0.8791672091049682
S000145,10,17.65142857142857,2.142857142857143,22.57517399605994,123.56,15.0,2,1,3,0.2,0.8,2,6,2,0,2,1,8,0.04241750241873623,1.278219024285526
S000146,10,24.93,2.1,23.39231390863247,124.65,10.5,2,3,5,0.3,0.7,4,4,2,0,4,0,6,0.04099652061488512,0.9379436210357847
S000147,10,29.418333333333333,1.5,20.1921058007001,176.51,9.0,2,2,4,0.4,0.6,3,6,1,0,4,2,6,0.04718738238683973,0.6861450688350264
S000148,10,13.24125,2.25,10.233668595213873,52.965,9.0,4,2,6,0.4,0.6,3,4,3,0,0,3,4,0.08901811474357113,0.7722794902529099
S000149,10,24.89875,2.75,20.35999416748443,199.18999999999997,22.0,0,1,1,0.6,0.4,3,2,5,0,2,5,4,0.04681649218435953,0.8173832154357176
S000150,10,12.69625,2.625,18.135697188142505,101.57,21.0,2,0,2,0.3,0.7,4,3,3,0,3,0,6,0.052258352030134195,1.427305238614265
S000151,10,27.953571428571426,2.142857142857143,25.919025945285462,195.675,15.0,0,2,2,0.1,0.9,1,3,6,0,4,2,5,0.03714844667977809,0.9268853948606516
S000152,10,5.815,2.6666666666666665,5.3392274722098145,34.89,16.0,0,4,4,0.1,0.9,4,3,3,0,2,1,5,0.1577479281795525,0.9166055746282943
S000153,10,13.76,1.8571428571428572,14.037067595002407,96.32,13.0,2,1,3,0.3,0.7,4,3,3,0,3,1,9,0.06650232790948891,1.0193948870735228
S000154,10,12.475714285714286,1.6428571428571428,20.66182135981148,87.33,11.5,1,2,3,0.3,0.7,4,2,4,0,2,0,6,0.046164169826239526,1.6548369510146494
S000155,10,9.986666666666666,2.5,9.795731042993507,59.92,15.0,0,4,4,0.2,0.8,2,2,6,0,3,0,7,0.09262920649074578,0.9798997375451992
S000156,10,10.14,2.0833333333333335,9.84522625438339,60.84,12.5,1,3,4,0.4,0.6,3,3,4,0,3,0,7,0.09220646730129979,0.9699730299885112
S000157,10,24.2,2.125,23.106978537724423,193.6,17.0,1,1,2,0.3,0.7,2,2,6,0,4,1,7,0.041481764230018474,0.9544394274153004
S000158,10,12.32,3.0,12.32523062664549,73.92,18.0,2,1,3,0.5,0.5,2,4,4,0,3,2,7,0.0750456054396817,0.999613189508961
S000159,10,18.003333333333334,2.111111111111111,6.9862937241430085,162.03,19.0,1,0,1,0.3,0.7,5,3,2,0,5,3,6,0.1252145281079438,0.3878401401263698
S000160,10,16.833333333333332,1.6666666666666667,25.020988522971408,101.0,10.0,0,4,4,0.1,0.9,3,2,5,0,1,2,5,0.038430515394032666,1.485512874904299
S000161,10,20.264000000000003,2.6,24.37902028384242,101.32000000000001,13.0,1,4,5,0.4,0.6,3,4,3,0,1,1,6,0.03940262424695137,1.2024770782204999
S000162,10,5.825,1.8333333333333333,7.316790963257049,34.95,11.0,3,1,4,0.1,0.9,3,5,2,0,1,1,6,0.12023868393686028,1.2539487512008654
S000163,10,11.168000000000001,2.0,5.011473835110785,55.84,10.0,2,2,4,0.3,0.7,3,4,3,0,2,1,6,0.1663485573470139,0.44833367642787475
S000164,10,30.23,2.0,23.867799786881626,211.61,14.0,2,1,3,0.3,0.7,8,1,1,0,3,2,6,0.04021264480854975,0.7892790934815352
S000165,10,15.481428571428571,2.0,13.35509943625958,108.37,14.0,3,0,3,0.1,0.9,2,3,5,0,2,3,6,0.06966165608536974,0.8620960536132153
S000166,10,15.044375,1.75,13.540877118008272,120.355,14.0,1,1,2,0.2,0.8,3,4,3,0,4,0,7,0.06877164230770794,0.8994645820904734
